상품코드,상품명,규격,단가,구분,비고,파일생성코드,서브매뉴,상품사진명
1001,생닭,1마리,4850,비과세,,,주재료,
1002,근위,1kg,5800,과세,,,주재료,
2001,양파소스 (본사),1k 파우치,8000,과세,,,소스류,
2002,간장소스 (본사),5k 파우치,15000,과세,,,소스류,
2003,고추소스 (본사),1k 파우치,7300,과세,,,소스류,
2004,파우더 (본사),5k 지퍼백,8000,과세,,,소스류,
3001,골뱅이 캔,삼포<자연산소>140g,2500,과세,,,사이드메뉴,
3002,골뱅이소스,캐드 2kg,10000,과세,,,사이드메뉴,
3003,진미채,"오징어채, 900g",8318,과세,,,사이드메뉴,
3004,막국수,건면 2k,3091,과세,,,사이드메뉴,
3005,왕문어발,2k,20000,과세,,,사이드메뉴,
3006,대하튀김 ,"500g, 30미",7000,비과세,,,사이드메뉴,
3007,먹태,(봉*10),31818,과세,,,사이드메뉴,
3008,황도,캔,1273,과세,,,사이드메뉴,
3009,백도,캔,1273,과세,,,사이드메뉴,
3010,깐포도,캔,1818,과세,,,사이드메뉴,
3011,굴짬뽕탕, 영동 750g,4955,과세,,,사이드메뉴,
3012,오뎅탕,가마보코430g,3636,과세,,,사이드메뉴,
3013,감자튀김,레귤러컷 2.27*6,6818,과세,,,사이드메뉴,
3014,케이준감자,케이준*6,7636,과세,,,사이드메뉴,
3015,반달감자,반달감자 2K*6,4091,과세,,,사이드메뉴,
3016,건빵,6.5k,10909,과세,,,사이드메뉴,
4001,식용유,18L,24091,과세,,,식용유,
5001,계란 (소),소란,3200,비과세,,,식자재,
5002,계란 (대),왕란,4000,비과세,,,식자재,
5003,치킨무 (홀용),"5k, 벌크",4000,비과세,,,식자재,
5004,치킨무 (포장용),박스 (230g x50),15000,비과세,,,식자재,
5005,일회용 소금,3.5g*95*50봉,1000,과세,,,식자재,
5006,옥수수전분,백설 20kg,18000,과세,,,식자재,
5007,참깨,1k,7000,비과세,,,식자재,
5008,참기름,350ml 병,5900,과세,,,식자재,
5009,후추 (본사),3kg,42500,비과세,,,식자재,
5010,흑후추,450g,8500,비과세,,,식자재,
5011,파슬리가루,200g,4473,과세,,,식자재,
5012,다시다,1k,9045,과세,,,식자재,
5013,미원,1k,8636,과세,,,식자재,
5014,설탕,3k,3473,과세,,,식자재,
5015,맛소금,1k,2318,과세,,,식자재,
5016,꽃소금,1K,1091,과세,,,식자재,
5017,땡초고추가루,땡초 1K,10000,비과세,,,식자재,
5018,고운고추가루,고운고춧가루 1K,8650,비과세,,,식자재,
5019,청양고추가루,청양 1K,9000,비과세,,,식자재,
5020,땡초,1k (베트남),9000,비과세,,,식자재,
5021,간마늘,1K 냉동.중국산,1800,비과세,,,식자재,
5022,튀김가루,곰표 1kg,1273,과세,,,식자재,
5023,밀가루,곰표 2.5k,2950,비과세,,,식자재,
5024,케찹,스파우트팩 3.3K,3682,과세,,,식자재,
5025,허니머스타드,오뚜기 2K,5636,과세,,,식자재,
5026,마요네즈,3.2K,8455,과세,,,식자재,
5027,고추장,옹가네 3kg,6227,과세,,,식자재,
5028,간장,몽고간장 1.8L,3545,과세,,,식자재,
5029,식초,환만 1.8L,1636,과세,,,식자재,
5030,초장,움트리 2k,6364,과세,,,식자재,
5031,된장,해찬들 3k,10000,과세,,,식자재,
5032,굴소스,2.2k 캔,7182,과세,,,식자재,
5033,우동다시,청수,5364,과세,,,식자재,
5034,혼다시,1k ,15273,과세,,,식자재,
5035,쌀,20K,38500,비과세,,,식자재,
6001,종이쇼핑백 (본사),100매,30500,과세,,,비품류,
6002,포장비닐봉투 (본사),100매,7200,과세,,,비품류,
6003,은박봉투 (본사),100매,13400,과세,,,비품류,
6004,종이깔지 (본사),100매,5100,과세,,,비품류,
6005,생맥주 포장용기,1리터 (박스*132ea),29091,과세,,,비품류,
6006,소스 포장용기 (소),(박스*30) 1줄x100ea,1909,과세,,,비품류,
6007,소스 포장용기 (중),(박스*30) 1줄x100ea,3636,과세,,,비품류,
6008,나무젓가락,박스*10 (종이포장),3182,과세,,,비품류,
6009,파란비닐봉투,50리터,3091,과세,,,비품류,
6010,검정손잡이비닐,대 (검정),1909,과세,,,비품류,
6011,식기세제,"하이퐁, 14k",12273,과세,,,비품류,
6012,식기세제 (세척기용),"세척기용, 20k",14545,과세,,,비품류,
6013,락스,말통,4182,과세,,,비품류,
6014,롤크린팩,중*10(30cm),4318,과세,,,비품류,
6015,호일,300*30m,1227,과세,,,비품류,
6016,크린랩,업소용,7591,과세,,,비품류,
6017,일회용 장갑,애니200*20,2091,과세,,,비품류,
6018,부탄가스,4ea,2909,과세,,,비품류,
6019,물수건,프라임,7545,과세,,,비품류,
6020,키친타올,,1545,과세,,,비품류,
6021,테이블 냅킨,박스 80속,7818,과세,,,비품류,
6022,두루마리 화장지,24롤,7045,과세,,,비품류,
